Year,Name,Prize,Identity
2001,V. S. Naipaul,Literature,Asian
2006,Orhan Pamuk,Literature,Asian
2012,Mo Yan,Literature,Asian
2017,Kazuo Ishiguro,Literature,Asian
1973,LÃª Äá»©c Thá»(declined award),Peace,Asian
1974,Eisaku SatÅ,Peace,Asian
1978,Menachem Begin,Peace,Asian
1979,Mother Teresa,Peace,Asian
1989,"Tenzin Gyatso, the 14th Dalai Lama",Peace,Asian
1991,Aung San Suu Kyi,Peace,Asian
1994,Yasser Arafat,Peace,Asian
1994,Shimon Peres,Peace,Asian
1994,Yitzhak Rabin,Peace,Asian
1996,Carlos Filipe Ximenes Belo,Peace,Asian
1996,JosÃ© Ramos-Horta,Peace,Asian
2000,Kim Dae-jung,Peace,Asian
2003,Shirin Ebadi,Peace,Asian
2006,Muhammad Yunus,Peace,Asian
2010,Liu Xiaobo,Peace,Asian
2011,Tawakkul Karman,Peace,Asian
2014,Kailash Satyarthi,Peace,Asian
2014,Malala Yousafzai,Peace,Asian
2018,Nadia Murad,Peace,Asian
2021,Maria Ressa,Peace,Asian
2023,Narges Mohammadi,Peace,Asian
1998,Amartya Sen,Economics,Asian
2002,Daniel Kahneman,Economics,Asian
2005,Robert Aumann,Economics,Asian
2019,Abhijit Banerjee,Economics,Asian
1951,Max Theiler,Physiology or Medicine,African
1957,Albert Camus,Literature,African
1960,Albert Luthuli,Peace,African
1978,Anwar El Sadat,Peace,African
1979,Allan M. Cormack,Physiology or Medicine,African
1982,Aaron Klug,Chemistry,African
1984,Desmond Tutu,Peace,African
1985,Claude Simon,Literature,African
1986,"	Wole Soyinka",Literature,African
1988,Naguib Mahfouz,Literature,African
1991,Nadine Gordimer,Literature,African
1993,Nelson Mandela,Peace,African
1993,F. W. de Klerk,Peace,African
1997,Claude Cohen-Tannoudji,Physics,African
1999,Ahmed Zewail,Chemistry,African
2001,Kofi Annan,Peace,African
2002,"	Sydney Brenner",Physiology or Medicine,African
2003,J. M. Coetzee,Literature,African
2004,Wangari Maathai,Peace,African
2005,Mohamed ElBaradei,Peace,African
2007,Doris Lessing,Literature,African
2008,J. M. G. Le Clzio,Literature,African
2011,Ellen Johnson Sirleaf,Peace,African
2011,"	Leymah Gbowee",Peace,African
2012,Serge Haroche,Physics,African
2013,Michael Levitt,Chemistry,African
2015,"	Tunisian National Dialogue Quartet",Peace,African
2018,Denis Mukwege,Peace,African
2019,Abiy Ahmed,Peace,African
2021,Abdulrazak Gurnah,Literature,African
