,Category,Year,Hispanic,American Indian,Asian,Black,White,More than one race,Hispanic_percentage,American Indian_percentage,Asian_percentage,Black_percentage,White_percentage,More than one race_percentage,Female,Male,Female_percentage,Male_percentage
39,math/cs,2013,141000.0,2000.0,547000.0,157000.0,1702000.0,40000.0,0.054461181923522596,0.000772499034376207,0.21127848590189263,0.06064117419853225,0.6573966782541522,0.01544998068752414,657000.0,1936000.0,0.2533744697261859,0.7466255302738141
40,math/cs,2015,159000.0,2000.0,813000.0,162000.0,1964000.0,51000.0,0.05046017137416693,0.0006347191367819739,0.2580133291018724,0.051412250079339895,0.6232941923198985,0.016185337987940335,833000.0,2323000.0,0.26394169835234477,0.7360583016476553
41,math/cs,2017,200000.0,4000.0,841000.0,242000.0,2069000.0,52000.0,0.05868544600938967,0.0011737089201877935,0.24677230046948356,0.0710093896713615,0.6071009389671361,0.015258215962441314,919000.0,2500000.0,0.2687920444574437,0.7312079555425564
42,math/cs,2019,238000.0,0.0,955000.0,189000.0,2259000.0,88000.0,0.06382408152319657,0.0,0.25610083132207023,0.050683829444891394,0.6057924376508448,0.02359882005899705,975000.0,2799000.0,0.25834658187599363,0.7416534181240063
43,math/cs,2021,328000.0,4000.0,1064000.0,242000.0,2297000.0,89000.0,0.08151093439363817,0.0009940357852882703,0.2644135188866799,0.060139165009940355,0.5708250497017893,0.022117296222664017,1053000.0,2979000.0,0.2611607142857143,0.7388392857142857
44,natural science,1990,12300.0,1600.0,28500.0,17400.0,364300.0,0.0,0.029002593727894363,0.00377269511907569,0.06720113180853572,0.041028059419948124,0.8589955199245461,0.0,112500.0,311900.0,0.2650801131008483,0.7349198868991518
45,physical sciences,1993,7000.0,1000.0,26000.0,7000.0,226000.0,0.0,0.026217228464419477,0.003745318352059925,0.09737827715355805,0.026217228464419477,0.846441947565543,0.0,55000.0,212000.0,0.20599250936329588,0.7940074906367042
46,physical sciences,1995,6800.0,700.0,26300.0,7700.0,232700.0,0.0,0.024799416484318017,0.002552881108679796,0.09591539022611233,0.028081692195477754,0.8486506199854121,0.0,60900.0,220900.0,0.21611071682044003,0.78388928317956
47,physical sciences,1997,7900.0,1000.0,28400.0,8400.0,243400.0,0.0,0.027326184711172603,0.0034590107229332413,0.09823590453130404,0.029055690072639227,0.8419232099619509,0.0,63400.0,226000.0,0.21907394609536973,0.7809260539046303
48,physical sciences,1999,7800.0,900.0,27800.0,8800.0,252500.0,0.0,0.026192075218267292,0.0030221625251846875,0.09335124244459368,0.029550033579583614,0.8478844862323707,0.0,68400.0,229400.0,0.22968435191403627,0.7703156480859638
49,physical sciences,2003,12600.0,1500.0,38600.0,8800.0,248900.0,0.0,0.04059278350515464,0.004832474226804124,0.12435567010309279,0.028350515463917526,0.801868556701031,0.0,89900.0,225100.0,0.28539682539682537,0.7146031746031746
50,physical sciences,2006,14000.0,1000.0,42000.0,8000.0,263000.0,0.0,0.042682926829268296,0.003048780487804878,0.12804878048780488,0.024390243902439025,0.801829268292683,0.0,95000.0,239000.0,0.2844311377245509,0.7155688622754491
51,physical sciences,2008,5000.0,1000.0,17000.0,4000.0,67000.0,0.0,0.05319148936170213,0.010638297872340425,0.18085106382978725,0.0425531914893617,0.7127659574468085,0.0,96000.0,226000.0,0.2981366459627329,0.7018633540372671
52,physical sciences,2010,15000.0,1000.0,44000.0,11000.0,244000.0,5000.0,0.046875,0.003125,0.1375,0.034375,0.7625,0.015625,96000.0,225000.0,0.29906542056074764,0.7009345794392523
53,physical sciences,2013,15000.0,0.0,47000.0,11000.0,234000.0,4000.0,0.04823151125401929,0.0,0.15112540192926044,0.03536977491961415,0.752411575562701,0.012861736334405145,96000.0,215000.0,0.3086816720257235,0.6913183279742765
54,physical sciences,2015,17000.0,1000.0,64000.0,13000.0,233000.0,3000.0,0.0513595166163142,0.0030211480362537764,0.1933534743202417,0.03927492447129909,0.7039274924471299,0.00906344410876133,92000.0,239000.0,0.27794561933534745,0.7220543806646526
55,physical sciences,2017,29000.0,0.0,51000.0,11000.0,265000.0,7000.0,0.07988980716253444,0.0,0.14049586776859505,0.030303030303030304,0.7300275482093664,0.01928374655647383,107000.0,259000.0,0.2923497267759563,0.7076502732240437
56,physical sciences,2019,27000.0,1000.0,55000.0,18000.0,300000.0,7000.0,0.0661764705882353,0.0024509803921568627,0.13480392156862744,0.04411764705882353,0.7352941176470589,0.01715686274509804,142000.0,267000.0,0.3471882640586797,0.6528117359413202
57,physical sciences,2021,32000.0,1000.0,61000.0,16000.0,288000.0,9000.0,0.07862407862407862,0.002457002457002457,0.14987714987714987,0.03931203931203931,0.7076167076167076,0.022113022113022112,135000.0,273000.0,0.33088235294117646,0.6691176470588235
58,social sciences,1990,12800.0,1200.0,8700.0,20500.0,344300.0,0.0,0.03303225806451613,0.003096774193548387,0.022451612903225806,0.05290322580645161,0.8885161290322581,0.0,193600.0,193900.0,0.4996129032258064,0.5003870967741936
59,social sciences,1993,10000.0,1000.0,10000.0,16000.0,291000.0,0.0,0.03048780487804878,0.003048780487804878,0.03048780487804878,0.04878048780487805,0.8871951219512195,0.0,161000.0,167000.0,0.49085365853658536,0.5091463414634146
60,social sciences,1995,9800.0,1500.0,11600.0,16600.0,277900.0,0.0,0.03087586641461878,0.004725897920604915,0.036546943919344675,0.05229993698802773,0.8755513547574039,0.0,160600.0,160900.0,0.4995334370139969,0.5004665629860031
61,social sciences,1997,14500.0,2000.0,13400.0,16900.0,305600.0,0.0,0.04114642451759364,0.0056753688989784334,0.038024971623155504,0.04795686719636776,0.8671963677639046,0.0,183500.0,169000.0,0.5205673758865248,0.4794326241134752
62,social sciences,1999,15500.0,1500.0,14800.0,17200.0,314400.0,0.0,0.042652724270776,0.004127682993946065,0.04072647220693451,0.04733076499724821,0.8651623555310952,0.0,196200.0,167300.0,0.5397524071526822,0.46024759284731775
63,social sciences,2000,11700.0,1000.0,12700.0,13700.0,269900.0,0.0,0.037864077669902914,0.003236245954692557,0.04110032362459547,0.04433656957928803,0.873462783171521,0.0,173900.0,139600.0,0.5547049441786284,0.44529505582137163
64,social sciences,2003,22300.0,3500.0,27700.0,28000.0,406100.0,0.0,0.04573420836751436,0.007178014766201805,0.056808859721082856,0.05742411812961444,0.8328547990155866,0.0,258100.0,236500.0,0.5218358269308532,0.47816417306914677
65,social sciences,2006,25000.0,5000.0,25000.0,20000.0,385000.0,0.0,0.05434782608695652,0.010869565217391304,0.05434782608695652,0.043478260869565216,0.8369565217391305,0.0,255000.0,215000.0,0.5425531914893617,0.4574468085106383
66,social sciences,2008,18000.0,1000.0,17000.0,13000.0,210000.0,0.0,0.0694980694980695,0.003861003861003861,0.06563706563706563,0.05019305019305019,0.8108108108108109,0.0,265000.0,237000.0,0.5278884462151394,0.4721115537848606
67,social sciences,2010,30000.0,1000.0,33000.0,24000.0,420000.0,10000.0,0.05791505791505792,0.0019305019305019305,0.0637065637065637,0.04633204633204633,0.8108108108108109,0.019305019305019305,302000.0,217000.0,0.581888246628131,0.41811175337186895
68,social sciences,2013,42000.0,3000.0,40000.0,25000.0,450000.0,12000.0,0.07342657342657342,0.005244755244755245,0.06993006993006994,0.043706293706293704,0.7867132867132867,0.02097902097902098,354000.0,220000.0,0.6167247386759582,0.3832752613240418
69,social sciences,2015,56000.0,0.0,51000.0,42000.0,407000.0,11000.0,0.09876543209876543,0.0,0.08994708994708994,0.07407407407407407,0.7178130511463845,0.019400352733686066,342000.0,229000.0,0.5989492119089317,0.4010507880910683
70,social sciences,2017,96000.0,0.0,38000.0,48000.0,451000.0,9000.0,0.14953271028037382,0.0,0.059190031152647975,0.07476635514018691,0.7024922118380063,0.014018691588785047,379000.0,267000.0,0.586687306501548,0.413312693498452
71,social sciences,2019,76000.0,0.0,44000.0,47000.0,481000.0,12000.0,0.11515151515151516,0.0,0.06666666666666667,0.07121212121212121,0.7287878787878788,0.01818181818181818,428000.0,235000.0,0.6455505279034691,0.35444947209653094
72,social sciences,2021,81000.0,0.0,57000.0,44000.0,512000.0,16000.0,0.11408450704225352,0.0,0.08028169014084507,0.061971830985915494,0.7211267605633803,0.022535211267605635,433000.0,279000.0,0.6081460674157303,0.39185393258426965
73,total,1990,103500.0,9700.0,206600.0,146900.0,2838100.0,0.0,0.03131808278867102,0.002935124667150811,0.06251512950859356,0.04445049624788187,0.8587811667877028,0.0,739600.0,2567200.0,0.22366033627676304,0.7763396637232369
74,total,1993,111000.0,6000.0,286000.0,90000.0,2718000.0,0.0,0.03456867019620056,0.0018685767673621925,0.08906882591093117,0.02802865151043289,0.8464652756150732,0.0,591000.0,2126000.0,0.21751932278248068,0.7824806772175193
75,total,1995,119100.0,8600.0,338100.0,102000.0,3138900.0,0.0,0.032131006016132946,0.0023201230204764347,0.09121320851431192,0.027517738149836782,0.846817924299242,0.0,835500.0,2872900.0,0.22529932046165463,0.7747006795383454
76,total,1997,115200.0,10000.0,356900.0,106200.0,2832200.0,0.0,0.033679286653997956,0.0029235491887151,0.10434147054524193,0.031048092384154364,0.8280076012278906,0.0,780300.0,2641900.0,0.22801122085208345,0.7719887791479165
