,firstname,surname,born,died,bornCountry,bornCity,gender,year,category,affiliation,city,country,identity
368,Georg,von Békésy,1899-06-03,1972-06-13,Hungary,Budapest,male,1961,medicine,Harvard University,Cambridge MA,USA,
369,Francis,Crick,1916-06-08,2004-07-28,United Kingdom,Northampton,male,1962,medicine,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,
370,James,Watson,1928-04-06,0000-00-00,USA,Chicago IL,male,1962,medicine,Harvard University,Cambridge MA,USA,
371,Maurice,Wilkins,1916-12-15,2004-10-05,New Zealand,Pongaroa,male,1962,medicine,London University,London,United Kingdom,
372,Sir John,Eccles,1903-01-27,1997-05-02,Australia,Melbourne,male,1963,medicine,Australian National University,Canberra,Australia,
373,Alan,Hodgkin,1914-02-05,1998-12-20,United Kingdom,Banbury,male,1963,medicine,University of Cambridge,Cambridge,United Kingdom,
374,Andrew,Huxley,1917-11-22,2012-05-30,United Kingdom,Hampstead,male,1963,medicine,University College,London,United Kingdom,
375,Konrad,Bloch,1912-01-21,2000-10-15,Poland,Nysa,male,1964,medicine,Harvard University,Cambridge MA,USA,
376,Feodor,Lynen,1911-04-06,1979-08-06,Germany,Munich,male,1964,medicine,Max-Planck-Institut für Zellchemie,Munich,Germany,
377,François,Jacob,1920-06-17,2013-04-19,France,Nancy,male,1965,medicine,Institut Pasteur,Paris,France,
378,André,Lwoff,1902-05-08,1994-09-30,France,Ainay-le-Château,male,1965,medicine,Institut Pasteur,Paris,France,
379,Jacques,Monod,1910-02-09,1976-05-31,France,Paris,male,1965,medicine,Institut Pasteur,Paris,France,
380,Peyton,Rous,1879-10-05,1970-02-16,USA,Baltimore MD,male,1966,medicine,Rockefeller University,New York NY,USA,
381,Charles B.,Huggins,1901-09-22,1997-01-12,Canada,Halifax Nova Scotia,male,1966,medicine,University of Chicago Ben May Laboratory for Cancer Research,Chicago IL,USA,
382,Ragnar,Granit,1900-10-30,1991-03-12,Finland,Helsinki,male,1967,medicine,Karolinska Institutet,Stockholm,Sweden,
383,Keffer,Hartline,1903-12-22,1983-03-17,USA,Bloomsburg PA,male,1967,medicine,Rockefeller University,New York NY,USA,
384,George,Wald,1906-11-18,1997-04-12,USA,New York NY,male,1967,medicine,Harvard University,Cambridge MA,USA,
385,Robert W.,Holley,1922-01-28,1993-02-11,USA,Urbana IL,male,1968,medicine,Cornell University,Ithaca NY,USA,
386,H. Gobind,Khorana,1922-01-09,2011-11-09,India,Raipur,male,1968,medicine,University of Wisconsin,Madison WI,USA,Asian
387,Marshall W.,Nirenberg,1927-04-10,2010-01-15,USA,New York NY,male,1968,medicine,National Institutes of Health,Bethesda MD,USA,
388,Max,Delbrück,1906-09-04,1981-03-09,Germany,Berlin,male,1969,medicine,California Institute of Technology (Caltech),Pasadena CA,USA,
389,Alfred D.,Hershey,1908-12-04,1997-05-22,USA,Owosso MI,male,1969,medicine,Carnegie Institution of Washington,Long Island New York NY,USA,
390,Salvador E.,Luria,1912-08-13,1991-02-06,Italy,Turin,male,1969,medicine,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,
391,Sir Bernard,Katz,1911-03-26,2003-04-20,Germany,Leipzig,male,1970,medicine,University College,London,United Kingdom,
392,Ulf,von Euler,1905-02-07,1983-03-09,Sweden,Stockholm,male,1970,medicine,Karolinska Institutet,Stockholm,Sweden,
393,Julius,Axelrod,1912-05-30,2004-12-29,USA,New York NY,male,1970,medicine,National Institutes of Health,Bethesda MD,USA,
394,Earl W.,Sutherland Jr.,1915-11-19,1974-03-09,USA,Burlingame KS,male,1971,medicine,Vanderbilt University,Nashville TN,USA,
395,Gerald M.,Edelman,1929-07-01,2014-05-17,USA,New York NY,male,1972,medicine,Rockefeller University,New York NY,USA,
396,Rodney R.,Porter,1917-10-08,1985-09-06,United Kingdom,Newton-le-Willows,male,1972,medicine,University of Oxford,Oxford,United Kingdom,
397,Karl,von Frisch,1886-11-20,1982-06-12,Austria,Vienna,male,1973,medicine,Zoologisches Institut der Universität München,Munich,Germany,
398,Konrad,Lorenz,1903-11-07,1989-02-27,Austria,Vienna,male,1973,medicine,Konrad-Lorenz-Institut der Österreichischen Akademie der Wissen­schaften Forschungsstelle für Ethologie,Altenberg; Grünau im Almtal,Austria,
399,Nikolaas,Tinbergen,1907-04-15,1988-12-21,the Netherlands,the Hague,male,1973,medicine,University of Oxford,Oxford,United Kingdom,
400,Albert,Claude,1898-08-24,1983-05-22,Belgium,Longlier,male,1974,medicine,Université Catholique de Louvain,Louvain,Belgium,
401,Christian,de Duve,1917-10-02,2013-05-04,United Kingdom,Thames Ditton,male,1974,medicine,Rockefeller University,New York NY,USA,
402,George E.,Palade,1912-11-19,2008-10-07,Romania,Iasi,male,1974,medicine,Yale University School of Medicine,New Haven CT,USA,
403,David,Baltimore,1938-03-07,0000-00-00,USA,New York NY,male,1975,medicine,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,
404,Renato,Dulbecco,1914-02-22,2012-02-19,Italy,Catanzaro,male,1975,medicine,Imperial Cancer Research Fund Laboratory,London,United Kingdom,
405,Howard M.,Temin,1934-12-10,1994-02-09,USA,Philadelphia PA,male,1975,medicine,University of Wisconsin,Madison WI,USA,
406,Baruch S.,Blumberg,1925-07-28,2011-04-05,USA,New York NY,male,1976,medicine,The Institute for Cancer Research,Philadelphia PA,USA,
407,D. Carleton,Gajdusek,1923-09-09,2008-12-12,USA,Yonkers NY,male,1976,medicine,National Institutes of Health,Bethesda MD,USA,
408,Roger,Guillemin,1924-01-11,0000-00-00,France,Dijon,male,1977,medicine,The Salk Institute,San Diego CA,USA,
409,Andrew V.,Schally,1926-11-30,0000-00-00,Lithuania,Vilnius,male,1977,medicine,Veterans Administration Hospital,New Orleans LA,USA,
410,Rosalyn,Yalow,1921-07-19,2011-05-30,USA,New York NY,female,1977,medicine,Veterans Administration Hospital,Bronx NY,USA,
