,firstname,surname,born,died,bornCountry,bornCity,gender,year,category,affiliation,city,country,identity
685,George P.,Smith,1941-03-10,0000-00-00,USA,Norwalk CT,male,2018,chemistry,University of Missouri,Columbia,USA,
686,Sir Gregory P.,Winter,1951-04-14,0000-00-00,United Kingdom,Leicester,male,2018,chemistry,MRC Laboratory of Molecular Biology,Cambridge,United Kingdom,
687,William D.,Nordhaus,1941-05-31,0000-00-00,USA,Albuquerque NM,male,2018,economics,Yale University,New Haven CT,USA,
688,Paul M.,Romer,1955-00-00,0000-00-00,USA,Denver CO,male,2018,economics,NYU Stern School of Business,New York NY,USA,
689,William,Kaelin,1957-11-23,0000-00-00,USA,New York NY,male,2019,medicine,Harvard Medical School,Boston MA,USA,
690,Peter,Ratcliffe,1954-05-14,0000-00-00,United Kingdom,Lancashire,male,2019,medicine,University of Oxford,Oxford,United Kingdom,
691,Gregg,Semenza,1956-07-12,0000-00-00,USA,New York NY,male,2019,medicine,Johns Hopkins University,Baltimore MD,USA,
692,James,Peebles,1935-04-25,0000-00-00,Canada,Winnipeg,male,2019,physics,Princeton University,Princeton NJ,USA,
693,Michel,Mayor,1942-01-12,0000-00-00,Switzerland,Lausanne,male,2019,physics,University of Geneva,Geneva,Switzerland,
694,Didier,Queloz,1966-02-23,0000-00-00,Switzerland,Geneva,male,2019,physics,University of Geneva,Geneva,Switzerland,
695,John,Goodenough,1922-07-25,2023-06-25,Germany,Jena,male,2019,chemistry,University of Texas,Austin TX,USA,
696,M. Stanley,Whittingham,1941-12-22,0000-00-00,United Kingdom,,male,2019,chemistry,Binghamton University State University of New York,New York NY,USA,
697,Akira,Yoshino,1948-01-30,0000-00-00,Japan,Suita,male,2019,chemistry,Asahi Kasei Corporation,Tokyo,Japan,Asian
698,Abhijit,Banerjee,1961-02-21,0000-00-00,India,Mumbai,male,2019,economics,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,Asian
699,Esther,Duflo,1972-10-25,0000-00-00,France,Paris,female,2019,economics,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,
700,Michael,Kremer,1964-11-12,0000-00-00,USA,New York NY,male,2019,economics,Harvard University,Cambridge MA,USA,
701,Harvey,Alter,1935-09-12,0000-00-00,USA,New York NY,male,2020,medicine,National Institutes of Health,Bethesda MD,USA,
702,Michael,Houghton,1949-00-00,0000-00-00,United Kingdom,,male,2020,medicine,University of Alberta,Edmonton,Canada,
703,Charles,Rice,1952-08-25,0000-00-00,USA,Sacramento CA,male,2020,medicine,Rockefeller University,New York NY,USA,
704,Roger,Penrose,1931-08-08,0000-00-00,United Kingdom,Colchester,male,2020,physics,University of Oxford,Oxford,United Kingdom,
705,Reinhard,Genzel,1952-03-24,0000-00-00,Germany,Bad Homburg vor der Höhe,male,2020,physics,Max Planck Institute for Extraterrestrial Physics,Garching,Germany,
706,Andrea,Ghez,1965-06-16,0000-00-00,USA,New York NY,female,2020,physics,University of California,Los Angeles CA,USA,
707,Emmanuelle,Charpentier,1968-12-11,0000-00-00,France,Juvisy-sur-Orge,female,2020,chemistry,Max Planck Unit for the Science of Pathogens,Berlin,Germany,
708,Jennifer A.,Doudna,1964-02-19,0000-00-00,USA,Washington D.C.,female,2020,chemistry,University of California,Berkeley CA,USA,
709,Paul,Milgrom,1948-04-20,0000-00-00,USA,Detroit MI,male,2020,economics,Stanford University,Stanford CA,USA,
710,Robert,Wilson,1937-05-16,0000-00-00,USA,Geneva NE,male,2020,economics,Stanford University,Stanford CA,USA,
711,David,Julius,1955-11-04,0000-00-00,USA,New York NY,male,2021,medicine,University of California,San Francisco CA,USA,
712,Ardem,Patapoutian,1967-00-00,0000-00-00,Lebanon,Beirut,male,2021,medicine,Scripps Research,La Jolla CA,USA,
713,Syukuro,Manabe,1931-09-21,0000-00-00,Japan,Shingu Ehime,male,2021,physics,Princeton University,Princeton NJ,USA,Asian
714,Klaus,Hasselmann,1931-10-25,0000-00-00,Germany,Hamburg,male,2021,physics,Max Planck Institute for Meteorology,Hamburg,Germany,
715,Giorgio,Parisi,1948-08-04,0000-00-00,Italy,Rome,male,2021,physics,Sapienza University of Rome,Rome,Italy,
716,Benjamin,List,1968-01-11,0000-00-00,Germany,Frankfurt-on-the-Main,male,2021,chemistry,Max-Planck-Institut für Kohlenforschung,Mülheim an der Ruhr,Germany,
717,David,MacMillan,1968-03-16,0000-00-00,United Kingdom,Bellshill,male,2021,chemistry,Princeton University,Princeton NJ,USA,
718,David,Card,1956-00-00,0000-00-00,Canada,Guelph,male,2021,economics,University of California,Berkeley CA,USA,
719,Joshua,Angrist,1960-09-18,0000-00-00,USA,Columbus OH,male,2021,economics,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,
720,Guido,Imbens,1963-09-03,0000-00-00,the Netherlands,Geldrop,male,2021,economics,Stanford University,Stanford CA,USA,
721,Svante,Pääbo,1955-04-20,0000-00-00,Sweden,Stockholm,male,2022,medicine,Max Planck Institute for Evolutionary Anthropology,Leipzig,Germany,
722,Alain,Aspect,1947-06-15,0000-00-00,France,Agen,male,2022,physics,Institut d’Optique Graduate School – Université Paris-Saclay,Paris,France,
723,John,Clauser,1942-12-01,0000-00-00,USA,Pasadena CA,male,2022,physics,J.F. Clauser & Assoc.,Walnut Creek CA,USA,
724,Anton,Zeilinger,1945-05-20,0000-00-00,Austria,Ried im Innkreis,male,2022,physics,University of Vienna,Vienna,Austria,
725,Carolyn,Bertozzi,1966-10-10,0000-00-00,USA,Boston MA,female,2022,chemistry,Stanford University,Stanford CA,USA,
726,Morten,Meldal,1954-00-00,0000-00-00,Denmark,Copenhagen,male,2022,chemistry,University of Copenhagen,Copenhagen,Denmark,
727,Ben,Bernanke,1953-12-13,0000-00-00,USA,Augusta GA,male,2022,economics,The Brookings Institution,Washington D.C.,USA,
728,Douglas,Diamond,1953-10-25,0000-00-00,USA,Chicago IL,male,2022,economics,University of Chicago,Chicago IL,USA,
729,Philip,Dybvig,1955-05-22,0000-00-00,USA,Gainesville FL,male,2022,economics,Washington University,St. Louis MO,USA,
730,Katalin,Karikó,1955-01-17,0000-00-00,Hungary,Szolnok,female,2023,medicine,Szeged University,Szeged,Hungary,
731,Drew,Weissman,1959-09-07,0000-00-00,USA,Lexington MA,male,2023,medicine,Penn Institute for RNA Innovations University of Pennsylvania,Philadelphia PA,USA,
732,Pierre,Agostini,1941-07-23,0000-00-00,Tunisia,Tunis,male,2023,physics,The Ohio State University,Columbus OH,USA,
733,Ferenc,Krausz,1962-05-17,0000-00-00,Hungary,Mór,male,2023,physics,Max Planck Institute of Quantum Optics,Garching,Germany,
734,Anne,L’Huillier,1958-08-16,0000-00-00,France,Paris,female,2023,physics,Lund University,Lund,Sweden,
735,Moungi,Bawendi,1961-00-00,0000-00-00,France,Paris,male,2023,chemistry,Massachusetts Institute of Technology (MIT),Cambridge MA,USA,
736,Louis,Brus,1943-00-00,0000-00-00,USA,Cleveland OH,male,2023,chemistry,Columbia University,New York NY,USA,
737,Aleksey,Yekimov,1945-00-00,0000-00-00,Russia,St. Petersburg,male,2023,chemistry,Nanocrystals Technology Inc.,New York NY,USA,
738,Claudia,Goldin,1946-00-00,0000-00-00,USA,New York NY,female,2023,economics,Harvard University,Cambridge MA,USA,
